identifier,electrolyte_type,component_names,existing_yaml_tags,inferred_svg_tags,yaml_file,svg_file
nakamura_2011_structure_165433_f1b_blue,aqueous,CsBr; water,BCV,"BCV, SHA",literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1b_blue.yaml,literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1b_blue.svg
nakamura_2011_structure_165433_f1b_red,aqueous,CsBr; water; CsF,BCV,"BCV, SHA",literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1b_red.yaml,literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1b_red.svg
ocko_1996_halide_55_f6a_solid,aqueous,NaBr; water,BCV,"BCV, SHA",literature/svgdigitizer/ocko_1996_halide_55/ocko_1996_halide_55_f6a_solid.yaml,literature/svgdigitizer/ocko_1996_halide_55/ocko_1996_halide_55_f6a_solid.svg
pajkossy_1996_impedance_209_f1a_dotted,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1a_dotted.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1a_dotted.svg
pajkossy_1996_impedance_209_f1a_solid,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1a_solid.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1a_solid.svg
pajkossy_1996_impedance_209_f1b_dotted,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1b_dotted.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1b_dotted.svg
pajkossy_1996_impedance_209_f1b_solid,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1b_solid.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f1b_solid.svg
pajkossy_1996_impedance_209_f3a_a,aqueous,HClO4; water; NaBr,BCV,"BCV, SHA",literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f3a_a.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f3a_a.svg
pajkossy_1996_impedance_209_f3a_b,aqueous,KClO4; water; NaBr,BCV,"BCV, SHA",literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f3a_b.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f3a_b.svg
pajkossy_1996_impedance_209_f3a_dashed,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f3a_dashed.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f3a_dashed.svg
pajkossy_1996_impedance_209_f8a_a,aqueous,HClO4; water; NaBr,BCV,"BCV, SHA",literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f8a_a.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f8a_a.svg
pajkossy_1996_impedance_209_f8a_b,aqueous,KClO4; water; NaBr,BCV,"BCV, SHA",literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f8a_b.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f8a_b.svg
