identifier,electrolyte_type,component_names,svg_tags
jovic_1999_cyclic_247_f6_dashed,aqueous,NaOH; water,BCV
jovic_1999_cyclic_247_f6_solid,aqueous,NaOH; water,BCV
jovic_1999_cyclic_247_f7_dashed,aqueous,NaOH; water,BCV
jovic_1999_cyclic_247_f7_solid,aqueous,NaOH; water,BCV
kerner_2002_measurement_2055_f2a_solid,aqueous,HClO4; water,BCV
kerner_2002_measurement_2055_f3a_thick,aqueous,HClO4; water; KCl,"BCV, SHA"
kerner_2002_measurement_2055_f3a_thin,aqueous,HClO4; water; KCl,"BCV, SHA"
kerner_2002_measurement_2055_f4a_thick,aqueous,HClO4; water; K2SO4,BCV
kerner_2002_measurement_2055_f4a_thin,aqueous,HClO4; water; K2SO4,BCV
kerner_2002_measurement_2055_f5a_thick,aqueous,HClO4; water; KBr,"BCV, SHA"
kerner_2002_measurement_2055_f5a_thin,aqueous,HClO4; water; KBr,"BCV, SHA"
kerner_2002_measurement_2055_f6a_1,aqueous,KClO4; water; KI,"BCV, SHA"
kerner_2002_measurement_2055_f6a_2,aqueous,KClO4; water; KI,"BCV, SHA"
kibler_2000_in-situ_73_f4a_black,aqueous,H2O; H2SO4,BCV
kibler_2000_in-situ_73_f5a_black,aqueous,H2O; H2SO4,BCV
kibler_2000_in-situ_73_f7a_black,aqueous,H2O; H2SO4,BCV
kibler_2000_in-situ_73_f8a_black,aqueous,H2O; H2SO4,BCV
li_2000_chronocoulometric_95_f1_dash-dotted,aqueous,HClO4; water; KClO4; KCl,"BCV, SHA"
li_2000_chronocoulometric_95_f1_dashed,aqueous,HClO4; water; KClO4; KCl,"BCV, SHA"
li_2000_chronocoulometric_95_f1_dotted,aqueous,HClO4; water; KClO4; KCl,"BCV, SHA"
li_2000_chronocoulometric_95_f1_solid,aqueous,HClO4; water; KClO4,BCV
lipkowski_1998_ionic_2875_f1a_br,aqueous,KClO4; water; KBr,"BCV, SHA"
lipkowski_1998_ionic_2875_f1a_cl,aqueous,KClO4; water; KCl,"BCV, SHA"
lipkowski_1998_ionic_2875_f1a_i,aqueous,KClO4; water; KI,"BCV, SHA"
lipkowski_1998_ionic_2875_f1a_so4,aqueous,HClO4; water; K2SO4,BCV
liu_2019_in-situ_11_f2_dashed,ionic liquid,EMIm-TFSI,BCV
mello_2018_bromide_18562_f1a_black,aqueous,HClO4; water; KClO4,BCV
mello_2018_bromide_18562_f1a_red,aqueous,HClO4; water; KClO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1b_black,aqueous,HClO4; water; KClO4,BCV
mello_2018_bromide_18562_f1b_red,aqueous,HClO4; water; KClO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1c_black,aqueous,Na2HPO4; water; NaH2PO4,BCV
mello_2018_bromide_18562_f1c_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1d_black,aqueous,Na2HPO4; water; NaH2PO4,BCV
mello_2018_bromide_18562_f1d_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1e_black,aqueous,Na2HPO4; water; NaH2PO4,BCV
mello_2018_bromide_18562_f1e_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1f_black,aqueous,Na2HPO4; water; NaH2PO4,BCV
mello_2018_bromide_18562_f1f_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1g_black,aqueous,NaOH; water; KClO4,BCV
mello_2018_bromide_18562_f1g_red,aqueous,NaOH; water; KClO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1h_black,aqueous,NaOH; water; KClO4,BCV
mello_2018_bromide_18562_f1h_red,aqueous,NaOH; water; KClO4; KBr,"BCV, SHA"
mello_2018_bromide_18562_f1i_black,aqueous,NaOH; water; KClO4,BCV
mello_2018_bromide_18562_f1i_red,aqueous,NaOH; water; KClO4; KBr,"BCV, SHA"
meng_2012_hydrogen_5222_f1_red,ionic liquid,EMIm-TFSI; H-TFSI,BCV
motobayashi_2016_potential-dependent_14_f2b_black,ionic liquid,BMIm-TFSI; water,BCV
motobayashi_2016_potential-dependent_14_f2b_red,ionic liquid,BMIm-TFSI; water,BCV
nakamura_2011_structure_165433_f1a_blue,aqueous,LiBr; water; LiOH,"BCV, SHA"
nakamura_2011_structure_165433_f1a_green,aqueous,KBr; water; KOH,"BCV, SHA"
nakamura_2011_structure_165433_f1a_red,aqueous,CsBr; water; CsOH,"BCV, SHA"
nakamura_2011_structure_165433_f1b_blue,aqueous,CsBr; water,"BCV, SHA"
nakamura_2011_structure_165433_f1b_red,aqueous,CsBr; water; CsF,"BCV, SHA"
nakamura_2014_structural_22136_f1a_inset,aqueous,CsBr; water; CsOH,"BCV, SHA"
nishihara_1995_underpotential_75_f1a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f1b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
nishihara_1995_underpotential_75_f2a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f2b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
nishihara_1995_underpotential_75_f3a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f3b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
nishihara_1995_underpotential_75_f4a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f4b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
nishihara_1995_underpotential_75_f5a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f5b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
nishihara_1995_underpotential_75_f6a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f6b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
nishihara_1995_underpotential_75_f7a_solid,aqueous,water; H2SO4; Ar,BCV
nishihara_1995_underpotential_75_f7b_solid,aqueous,water; H2SO4; CuSO4*5H2O; Ar,BCV
ocko_1996_halide_55_f6a_solid,aqueous,NaBr; water,"BCV, SHA"
pajkossy_1996_impedance_209_f1a_dotted,aqueous,HClO4; water; KClO4,BCV
pajkossy_1996_impedance_209_f1a_solid,aqueous,KClO4; water,BCV
pajkossy_1996_impedance_209_f1b_dotted,aqueous,HClO4; water; KClO4,BCV
pajkossy_1996_impedance_209_f1b_solid,aqueous,KClO4; water,BCV
pajkossy_1996_impedance_209_f3a_a,aqueous,HClO4; water; NaBr,"BCV, SHA"
