E / V,j / uA cm-2
0.3167,14.0393
0.317,13.9588
0.3173,13.8806
0.3176,13.8036
0.3179,13.7281
0.3182,13.6539
0.3185,13.5812
0.3188,13.5092
0.3191,13.4377
0.3194,13.3661
0.3194,13.2956
0.3197,13.2252
0.3203,13.1562
0.3207,13.0899
0.321,13.0252
0.3213,12.9614
0.3216,12.8985
0.3219,12.837
0.3222,12.7773
0.3225,12.718
0.3225,12.659
0.3231,12.5991
0.3234,12.5368
0.3237,12.4715
0.3237,12.4028
0.324,12.3291
0.3246,12.2517
0.3246,12.1722
0.3249,12.0906
0.3252,12.0074
0.3255,11.9235
0.3258,11.839
0.3261,11.755
0.3265,11.6709
0.3268,11.5878
0.3271,11.5067
0.3274,11.4264
0.328,11.348
0.3283,11.2731
0.3283,11.2012
0.3286,11.1316
0.3289,11.0639
0.3292,10.997
0.3295,10.9304
0.3298,10.8631
0.3301,10.7951
0.3304,10.7276
0.3307,10.66
0.331,10.5937
0.3313,10.529
0.3316,10.4643
0.332,10.4004
0.3322,10.3367
0.3326,10.2725
0.3329,10.208
0.3332,10.1427
0.3335,10.0768
0.3338,10.0114
0.3341,9.9455
0.3344,9.8799
0.3347,9.8157
0.335,9.7519
0.3353,9.6893
0.3356,9.6288
0.3359,9.5697
0.3362,9.5133
0.3365,9.4596
0.3368,9.4085
0.3371,9.3605
0.3371,9.315
0.3378,9.2717
0.338,9.2307
0.338,9.1901
0.3384,9.1504
0.339,9.1105
0.339,9.0694
0.3396,9.026
0.3399,8.9798
0.3402,8.9299
0.3405,8.8763
0.3408,8.818
0.3408,8.7558
0.3411,8.6911
0.3414,8.6235
0.3417,8.5543
0.342,8.4842
0.3423,8.4128
0.3426,8.3415
0.3429,8.2708
0.3432,8.2002
0.3435,8.1314
0.3439,8.0643
0.3442,7.9987
0.3445,7.9355
0.3448,7.8741
0.3451,7.815
0.3454,7.7588
0.3457,7.7048
0.346,7.6533
0.3463,7.6045
0.3466,7.5582
0.3469,7.5142
0.3472,7.4723
0.3475,7.4328
0.3478,7.3959
0.3481,7.3611
0.3484,7.3285
0.3487,7.2979
0.349,7.2692
0.3493,7.2425
0.3497,7.2178
0.35,7.1939
0.3503,7.1708
0.3506,7.1478
0.3509,7.124
0.3512,7.0995
0.3515,7.074
0.3518,7.0476
0.3521,7.0202
0.3524,6.9912
0.3527,6.9609
0.353,6.9282
0.3533,6.8931
0.3536,6.855
0.3539,6.8144
0.3542,6.7717
0.3545,6.7277
0.3548,6.6832
0.3551,6.6391
0.3554,6.5956
0.3558,6.5533
0.3561,6.5118
0.3564,6.4712
0.3567,6.4308
0.357,6.391
0.3573,6.3523
0.3573,6.3139
0.3579,6.2769
0.3582,6.2409
0.3582,6.2057
0.3588,6.1705
0.3588,6.1349
0.3594,6.0983
0.3597,6.0607
0.36,6.0224
0.3603,5.9838
0.3606,5.9457
0.3606,5.9088
0.3609,5.8741
0.3612,5.8424
0.3615,5.8135
0.3619,5.7875
0.3622,5.7644
0.3625,5.7441
0.3628,5.7271
0.3631,5.7129
0.3634,5.7017
0.3637,5.6932
0.364,5.6866
0.3643,5.6816
0.3646,5.6763
0.3649,5.67
0.3652,5.6613
0.3655,5.6497
0.3658,5.6347
0.3661,5.6166
0.3664,5.5952
0.3667,5.5707
0.367,5.5438
0.3673,5.5151
0.3676,5.4854
0.368,5.455
0.3683,5.4242
0.3686,5.3939
0.3689,5.3648
0.3692,5.3376
0.3695,5.3129
0.3698,5.2908
0.3701,5.2717
0.3704,5.2553
0.3707,5.2416
0.371,5.2298
0.3713,5.2197
0.3716,5.2111
0.3719,5.2036
0.3722,5.1967
0.3725,5.1905
0.3728,5.1845
0.3732,5.1785
0.3734,5.1726
0.3738,5.1665
0.3741,5.1602
0.3744,5.1531
0.3747,5.145
0.375,5.1356
0.3753,5.1248
0.3756,5.1128
0.3759,5.0999
0.3762,5.0866
0.3765,5.073
0.3768,5.0596
0.3771,5.0462
0.3774,5.0333
0.3777,5.0213
0.378,5.0104
0.3783,5.0005
0.3786,4.9918
0.3786,4.9844
0.379,4.9783
0.3796,4.9733
0.3799,4.9698
0.3802,4.9676
0.3802,4.9667
0.3805,4.967
0.3811,4.968
0.3811,4.9695
0.3814,4.9713
0.382,4.9736
0.382,4.977
0.3823,4.9812
0.3826,4.9864
0.3829,4.9924
0.3832,4.999
0.3835,5.0063
0.3838,5.0143
0.3841,5.0226
0.3844,5.031
0.3847,5.0394
0.3851,5.0479
0.3854,5.0566
0.3857,5.0649
0.386,5.0732
0.3863,5.0818
0.3866,5.0906
0.3869,5.0998
0.3872,5.1092
0.3875,5.1189
0.3878,5.1291
0.3881,5.1401
0.3884,5.1522
0.3887,5.1653
0.389,5.1791
0.3893,5.1935
0.3896,5.2081
0.3899,5.2229
0.3902,5.2374
0.3905,5.2515
0.3908,5.2647
0.3912,5.2768
0.3915,5.2877
0.3918,5.2972
0.3921,5.3053
0.3924,5.3115
0.3927,5.3156
0.393,5.3178
0.3933,5.3171
0.3936,5.3133
0.3939,5.3063
0.3942,5.2959
0.3945,5.2829
0.3948,5.2678
0.3951,5.2516
0.3954,5.2341
0.3957,5.2164
0.396,5.199
0.3963,5.1827
0.3966,5.1677
0.3969,5.1545
0.3973,5.1438
0.3976,5.1353
0.3979,5.129
0.3982,5.1253
0.3985,5.1236
0.3988,5.1237
0.3991,5.1242
0.3994,5.1239
0.3997,5.1216
0.3997,5.1149
0.4003,5.1033
0.4006,5.0858
0.4006,5.0628
0.4012,5.0344
0.4015,5.0011
0.4015,4.9632
0.4018,4.9213
0.4021,4.8766
0.4024,4.8297
0.4031,4.7815
0.4031,4.7323
0.4037,4.6828
0.404,4.6331
0.4043,4.5834
0.4046,4.5332
0.4046,4.4843
0.4049,4.4361
0.4052,4.3893
0.4055,4.3433
0.4058,4.2977
0.4061,4.2528
0.4064,4.2083
0.4067,4.1648
0.407,4.1225
0.4073,4.0814
0.4076,4.0413
0.4079,4.0028
0.4082,3.966
0.4086,3.9306
0.4088,3.8969
0.4092,3.8644
0.4095,3.8331
0.4098,3.8015
0.4101,3.7689
0.4104,3.7342
0.4107,3.6969
0.411,3.6564
0.4113,3.6144
0.4116,3.5702
0.4119,3.524
0.4122,3.4758
0.4125,3.4257
0.4128,3.374
0.4131,3.3217
0.4134,3.2685
0.4137,3.2143
0.4137,3.1603
0.4144,3.1066
0.4146,3.0542
0.4146,3.0034
0.415,2.9541
0.4153,2.9077
0.4156,2.8641
0.4159,2.8228
0.4162,2.783
0.4165,2.744
0.4168,2.7053
0.4171,2.667
0.4174,2.6286
0.4177,2.5902
0.418,2.5516
0.4183,2.5132
0.4186,2.4749
0.4189,2.4368
0.4192,2.3991
0.4195,2.3627
0.4198,2.327
0.4201,2.2925
0.4205,2.2604
0.4207,2.2295
0.4211,2.2006
0.4214,2.1737
0.4217,2.1492
0.422,2.1272
0.4223,2.1071
0.4226,2.0882
0.4229,2.0698
0.4232,2.0514
0.4235,2.0326
0.4238,2.0132
0.4241,1.9927
0.4244,1.9715
0.4247,1.9507
0.425,1.9297
0.4253,1.9084
0.4256,1.8873
0.4259,1.8665
0.4263,1.8464
0.4266,1.8266
0.4269,1.807
0.4272,1.7876
0.4275,1.7678
0.4278,1.7477
0.4281,1.7282
0.4284,1.7091
0.4287,1.6906
0.429,1.6729
0.4293,1.6556
0.4296,1.6387
0.4299,1.6217
0.4302,1.6044
0.4305,1.5866
0.4305,1.5677
0.4311,1.5482
0.4311,1.5282
0.4314,1.5071
0.4317,1.4857
0.432,1.4647
0.4324,1.444
0.433,1.4239
0.4333,1.4045
0.4333,1.3859
0.4336,1.3681
0.4342,1.3512
0.4342,1.3354
0.4345,1.322
0.4348,1.3105
0.4351,1.3013
0.4354,1.2936
0.4357,1.2868
0.436,1.2805
0.4363,1.2737
0.4366,1.2662
0.4369,1.2575
0.4372,1.2475
0.4375,1.2367
0.4378,1.225
0.4381,1.2129
0.4385,1.2007
0.4388,1.1889
0.4391,1.1774
0.4394,1.1671
0.4397,1.1576
0.44,1.149
0.4403,1.1409
0.4406,1.1336
0.4409,1.1274
0.4412,1.1223
0.4415,1.1178
0.4418,1.1133
0.4421,1.108
0.4424,1.1014
0.4427,1.0933
0.443,1.0832
0.4433,1.0714
0.4436,1.058
0.4439,1.0433
0.4442,1.0275
0.4446,1.0107
0.4449,0.9933
0.4452,0.9753
0.4455,0.957
0.4458,0.9391
0.4461,0.9221
0.4464,0.9059
0.4467,0.8907
0.447,0.8774
0.4473,0.8668
0.4476,0.8592
0.4479,0.8544
0.4482,0.8522
0.4485,0.8518
0.4488,0.8534
0.4491,0.8561
0.4494,0.8598
0.4498,0.8637
0.4498,0.8678
0.45,0.8713
0.4507,0.8739
0.451,0.8754
0.451,0.8757
0.4516,0.8745
0.4516,0.8716
0.4519,0.867
0.4522,0.8612
0.4528,0.8542
0.4531,0.8462
0.4534,0.8377
0.4534,0.8296
0.454,0.8222
0.454,0.8157
0.4543,0.81
0.4549,0.8052
0.4549,0.8011
0.4552,0.7983
0.4555,0.796
0.4559,0.794
0.4561,0.7919
0.4565,0.7898
0.4568,0.7875
0.4571,0.7855
0.4574,0.7838
0.4577,0.7823
0.458,0.7807
0.4583,0.7792
0.4586,0.7776
0.4589,0.776
0.4592,0.7744
0.4595,0.7727
0.4598,0.7713
