E / V,j / uA cm-2
0.4938,24.4486
0.4941,24.427
0.4944,24.7402
0.4947,24.265
0.495,24.4378
0.4953,24.535
0.4956,24.0707
0.4959,24.4162
0.4962,24.3298
0.4965,24.0059
0.4968,24.4162
0.4971,24.103
0.4974,23.9735
0.4977,24.3406
0.498,23.8979
0.4983,23.9951
0.4986,24.211
0.499,23.7251
0.4992,23.9951
0.4995,23.9843
0.4998,23.5847
0.5001,23.9627
0.5004,23.7251
0.5007,23.4983
0.501,23.9087
0.5013,23.5307
0.5016,23.5091
0.5019,23.7899
0.5022,23.3039
0.5025,23.4875
0.5028,23.5955
0.5031,23.142
0.5034,23.4767
0.5037,23.3471
0.504,23.0124
0.5043,23.4119
0.5046,23.1203
0.5049,23.0232
0.5052,23.3795
0.5055,22.926
0.5058,23.0016
0.5061,23.196
0.5064,22.7208
0.5067,23.0016
0.507,22.9692
0.5073,22.5588
0.5076,22.9476
0.5079,22.7208
0.5082,22.5048
0.5085,22.872
0.5088,22.4832
0.5091,22.4832
0.5094,22.764
0.5097,22.2996
0.51,22.5048
0.5103,22.5804
0.5106,22.1269
0.5109,22.4832
0.5112,22.3536
0.5115,22.0513
0.5118,22.4616
0.5121,22.1377
0.5124,22.0405
0.5127,22.3969
0.513,21.9649
0.5133,22.0729
0.5136,22.2564
0.5139,21.8029
0.5142,22.1053
0.5145,22.1161
0.5148,21.7597
0.5151,22.1593
0.5154,21.9433
0.5157,21.7705
0.516,22.1916
0.5163,21.8461
0.5166,21.9109
0.5169,22.2241
0.5172,21.7921
0.5175,22.0513
0.5178,22.2133
0.5181,21.8785
0.5184,22.3644
0.5187,22.3752
0.519,22.2456
0.5193,22.8936
0.5196,22.8504
0.5199,23.0664
0.5202,23.8763
0.5205,23.9735
0.5208,24.7942
0.5211,26.0469
0.5214,26.7812
0.5217,28.5954
0.522,30.55
0.5223,32.2346
0.5226,35.0423
0.5229,37.4505
0.5232,39.6967
0.5235,42.6553
0.5238,44.6858
0.5241,46.7159
0.5244,49.0053
0.5247,50.15
0.525,51.597
0.5253,52.839
0.5256,53.087
0.5259,53.8864
0.5262,54.0807
0.5265,53.6596
0.5268,53.8648
0.5271,53.2169
0.5274,52.4933
0.5277,52.2665
0.528,51.1001
0.5283,50.3117
0.5286,49.6638
0.5289,48.1953
0.5292,47.4395
0.5295,46.489
0.5298,45.0637
0.5301,44.448
0.5304,43.2601
0.5307,41.9752
0.531,41.3595
0.5313,39.9883
0.5316,38.9841
0.5319,38.3358
0.5322,36.9105
0.5325,36.1653
0.5328,35.3771
0.5331,34.0812
0.5334,33.6061
0.5337,32.6774
0.534,31.6082
0.5343,31.2411
0.5346,30.2044
0.5349,29.4269
0.5352,29.0489
0.5355,27.9582
0.5358,27.4615
0.5361,27.008
0.5364,26.0036
0.5367,25.7337
0.537,25.1182
0.5373,24.2974
0.5376,24.1678
0.5379,23.4443
0.5382,22.872
0.5385,22.7424
0.5388,21.9325
0.5391,21.5869
0.5394,21.3709
0.5397,20.5826
0.54,20.453
0.5403,20.0859
0.5406,19.4271
0.5409,19.4271
0.5412,18.9304
0.5415,18.4552
0.5418,18.4769
0.5421,17.8505
0.5424,17.5913
0.5427,17.5482
0.5431,16.911
0.5433,16.8462
0.5436,16.641
0.5439,16.0687
0.5442,16.1227
0.5445,15.7771
0.5448,15.3776
0.5451,15.4856
0.5454,15.0212
0.5457,14.7837
0.546,14.8268
0.5463,14.2977
0.5466,14.2545
0.5469,14.1897
0.5472,13.7038
0.5475,13.7793
0.5478,13.5634
0.5481,13.1746
0.5484,13.315
0.5487,12.9586
0.549,12.7318
0.5493,12.8506
0.5496,12.4187
0.5499,12.3431
0.5502,12.3647
0.5505,11.9219
0.5508,11.9867
0.5511,11.8679
0.5514,11.5116
0.5517,11.652
0.552,11.3928
0.5523,11.1444
0.5526,11.2956
0.5529,10.95
0.5532,10.8637
0.5535,10.9285
0.5538,10.5505
0.5541,10.5937
0.5544,10.5505
0.5547,10.1941
0.555,10.3345
